system:index,area_sq_km,latitude,longitude,near_healthy_bed,priority_score,priority_tier,recommended_action,region_id,region_name,state,status,status_label,.geo
-45244+13666,0.0,36.82778248180747,-121.92878267110417,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93013014411089,36.82374012662743],[-121.92743519825854,36.82374012662743],[-121.92743519825854,36.831824964184506],[-121.93013014411089,36.831824964184506],[-121.93013014411089,36.82374012662743]]]}"
-45244+13672,0.0,36.844850529658444,-121.92968100584763,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93013014411089,36.847994639298655],[-121.93013014411089,36.84529969344629],[-121.93282508996326,36.84529969344629],[-121.93282508996326,36.84260474759394],[-121.92743519825854,36.84260474759394],[-121.92743519825854,36.847994639298655],[-121.93013014411089,36.847994639298655]]]}"
-45244+13680,0.0,36.86820673304792,-121.92878267114266,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93013014411089,36.866859260265166],[-121.92743519825854,36.866859260265166],[-121.92743519825854,36.86955420611752],[-121.93013014411089,36.86955420611752],[-121.93013014411089,36.866859260265166]]]}"
-45244+13686,0.0,36.88437640822083,-121.92878267123476,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93013014411089,36.883028935379315],[-121.92743519825854,36.883028935379315],[-121.92743519825854,36.88572388123168],[-121.93013014411089,36.88572388123168],[-121.93013014411089,36.883028935379315]]]}"
-45244+13693,0.0,36.90324102887695,-121.92878267119416,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93013014411089,36.901893556345826],[-121.92743519825854,36.901893556345826],[-121.92743519825854,36.90458850219818],[-121.93013014411089,36.90458850219818],[-121.93013014411089,36.901893556345826]]]}"
-45244+13696,0.0,36.91132586638151,-121.92878267123018,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93013014411089,36.909978393902904],[-121.92743519825854,36.909978393902904],[-121.92743519825854,36.91267333975526],[-121.93013014411089,36.91267333975526],[-121.93013014411089,36.909978393902904]]]}"
-45245+13651,0.0,36.78825666681548,-121.930579282482,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93282508996326,36.79140077639912],[-121.93282508996326,36.786010884694406],[-121.92743519825854,36.786010884694406],[-121.92743519825854,36.78870583054677],[-121.93013014411089,36.78870583054677],[-121.93013014411089,36.79140077639912],[-121.93282508996326,36.79140077639912]]]}"
-45245+13654,0.0,36.798138163576425,-121.93282508992517,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.79679066810384],[-121.93013014411089,36.79679066810384],[-121.93013014411089,36.7994856139562],[-121.93552003581561,36.7994856139562],[-121.93552003581561,36.79679066810384]]]}"
-45245+13660,0.0,36.81430781578079,-121.93147761710935,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93282508996326,36.812960343217995],[-121.93013014411089,36.812960343217995],[-121.93013014411089,36.81565528907035],[-121.93282508996326,36.81565528907035],[-121.93282508996326,36.812960343217995]]]}"
-45245+13678,0.0,36.86281684118539,-121.93147761699908,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93282508996326,36.86146936856045],[-121.93013014411089,36.86146936856045],[-121.93013014411089,36.864164314412804],[-121.93282508996326,36.864164314412804],[-121.93282508996326,36.86146936856045]]]}"
-45245+13705,0.0,36.93558037922195,-121.9314776169665,1,1.0,monitor,no_action,monterey_bay,"Monterey Bay, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93282508996326,36.93423290657413],[-121.93013014411089,36.93423290657413],[-121.93013014411089,36.936927852426486],[-121.93282508996326,36.936927852426486],[-121.93282508996326,36.93423290657413]]]}"
-45246+13661,0.0,36.81700276177417,-121.9341725628789,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.81565528907035],[-121.93282508996326,36.81565528907035],[-121.93282508996326,36.81835023492271],[-121.93552003581561,36.81835023492271],[-121.93552003581561,36.81565528907035]]]}"
-45246+13674,0.0,36.85203705781643,-121.93417256283152,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.85068958515101],[-121.93282508996326,36.85068958515101],[-121.93282508996326,36.85338453100337],[-121.93552003581561,36.85338453100337],[-121.93552003581561,36.85068958515101]]]}"
-45246+13677,0.0,36.86012189522773,-121.93417256279359,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.85877442270809],[-121.93282508996326,36.85877442270809],[-121.93282508996326,36.86146936856045],[-121.93552003581561,36.86146936856045],[-121.93552003581561,36.85877442270809]]]}"
-45246+13678,0.0,36.86281684122425,-121.93417256283468,1,1.0,monitor,no_action,monterey_bay,"Monterey Bay, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.86146936856045],[-121.93282508996326,36.86146936856045],[-121.93282508996326,36.864164314412804],[-121.93552003581561,36.864164314412804],[-121.93552003581561,36.86146936856045]]]}"
-45246+13679,0.0,36.8655117868353,-121.93417256288399,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.864164314412804],[-121.93282508996326,36.864164314412804],[-121.93282508996326,36.866859260265166],[-121.93552003581561,36.866859260265166],[-121.93552003581561,36.864164314412804]]]}"
-45246+13681,0.0,36.87090167871777,-121.93417256281452,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93552003581561,36.86955420611752],[-121.93282508996326,36.86955420611752],[-121.93282508996326,36.87224915196988],[-121.93552003581561,36.87224915196988],[-121.93552003581561,36.86955420611752]]]}"
-45247+13566,0.0,36.560982905554795,-121.93686750878382,1,1.0,monitor,no_action,monterey_bay,"Monterey Bay, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93821498166797,36.55963543309629],[-121.93552003581561,36.55963543309629],[-121.93552003581561,36.562330378948644],[-121.93821498166797,36.562330378948644],[-121.93821498166797,36.55963543309629]]]}"
-45247+13633,0.0,36.74154427785646,-121.93686750876819,1,1.0,monitor,no_action,monterey_bay,"Monterey Bay, CA",CA,2,healthy,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93821498166797,36.74019680520431],[-121.93552003581561,36.74019680520431],[-121.93552003581561,36.74289175105667],[-121.93821498166797,36.74289175105667],[-121.93821498166797,36.74019680520431]]]}"
-45247+13651,0.0,36.78915498207088,-121.9377658045705,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.94090992752034,36.79140077639912],[-121.94090992752034,36.78870583054677],[-121.93821498166797,36.78870583054677],[-121.93821498166797,36.786010884694406],[-121.93552003581561,36.786010884694406],[-121.93552003581561,36.79140077639912],[-121.94090992752034,36.79140077639912]]]}"
-45247+13668,0.0,36.83586738260764,-121.93686750878723,1,1.0,monitor,urchin_removal_then_replant,monterey_bay,"Monterey Bay, CA",CA,0,barren,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-121.93821498166797,36.83451991003686],[-121.93552003581561,36.83451991003686],[-121.93552003581561,36.83721485588922],[-121.93821498166797,36.83721485588922],[-121.93821498166797,36.83451991003686]]]}"
